csv_row,waypoint_x,waypoint_y,projected_s,projected_s_wrapped,projected_x,projected_y,euclidean_error_m,signed_lateral_error_m
160.0,-0.020546,-1.999991,-0.14827962950971596,831.5697291431671,-0.020556989952471287,-2.0029927776559373,0.0030017977737914567,0.0030017977737914567
161.0,-0.020585,-1.999991,-0.14831863074095963,831.5696901419359,-0.020595990911006203,-2.0029926348578124,0.003001654980133281,0.0030016549801332804
162.0,-0.020623,-1.999991,-0.1483566319475358,831.5696521407293,-0.020633991848438296,-2.0029924957023013,0.003001515828987895,0.0030015158289878946
163.0,-0.020663,-1.999991,-0.14839663330735675,831.5696121393695,-0.020673992921355553,-2.002992349202386,0.003001369333984502,0.0030013693339845026
164.0,-0.020701,-1.999991,-0.14843463453109962,831.5695741381458,-0.020711993868996293,-2.002992210008618,0.00300123014462129,0.0030012301446212895
165.0,-0.020739,-1.999991,-0.14847263574677072,831.5695361369301,-0.020749994805032933,-2.0029920707962714,0.0030010909366379244,0.003001090936637924
166.0,-0.020777,-1.999991,-0.14851063713831536,831.5694981355385,-0.020787995913598086,-2.0029919315646705,0.0030009517100331733,0.003000951710033171
167.0,-0.020816,-1.999991,-0.1485496382903193,831.5694591343865,-0.02082699677167113,-2.0029917886507396,0.0030008088002060613,0.0030008088002060613
168.0,-0.020854,-1.999991,-0.14858763954623555,831.5694211331306,-0.020864997737757452,-2.002991649381923,0.0030006695358654133,0.003000669535865413
169.0,-0.020893,-1.999991,-0.14862664083602795,831.5693821318408,-0.02090399872660694,-2.0029915064287804,0.003000526587307507,0.003000526587307507
170.0,-0.020931,-1.999991,-0.14866464209944752,831.5693441305774,-0.020941999693332224,-2.00299136712222,0.0030003872852268957,0.0030003872852268957
171.0,-0.02097,-1.999991,-0.148703643376507,831.5693051293003,-0.020981000662502684,-2.002991224130412,0.003000244297933531,0.003000244297933531
172.0,-0.021009,-1.999991,-0.1487426446358313,831.569266128041,-0.02102000161041189,-2.002991081119061,0.0030001012910195967,0.0030001012910195963
173.0,-0.021047,-1.999991,-0.14878064596166496,831.5692281267152,-0.021058002629358738,-2.0029909417554435,0.0029999619320760585,0.0029999619320760585
174.0,-0.021085,-1.999991,-0.1488186472297457,831.5691901254471,-0.021096003587229625,-2.0029908023734198,0.002999822554503227,0.0029998225545032264
175.0,-0.021124,-1.999991,-0.1488576487067803,831.5691511239701,-0.021135004742529093,-2.0029906593034434,0.0029996794897276095,0.0029996794897276043
176.0,-0.021162,-1.999991,-0.14889564979227998,831.5691131228846,-0.02117300551108251,-2.002990519884361,0.002999540074403145,0.002999540074403145
177.0,-0.021201,-1.999991,-0.14893465100533376,831.5690741216715,-0.021212006395501574,-2.0029903767766286,0.0029993969708794017,0.0029993969708794
