elapsed_s,publish_time_s,odometry_time_s,measurement_age_at_takeover_ms,commissioned_delay_ms,command_delay_steps,state_prediction_enabled,x_m,y_m,yaw_rad,speed_mps,yaw_rate_radps,progress_m,lateral_error_m,yaw_error_rad,reference_speed_mps,published_speed_command_mps,published_steering_command_rad,next_reference_speed_mps,next_speed_command_mps,next_steering_command_rad,next_raw_steering_command_rad,next_desired_yaw_rad,next_yaw_compensation_rad,next_inner_yaw_error_rad,next_steering_saturated,next_speed_saturated,controller_compute_s,deadline_met
17.2,31.837,31.808,33.36666679999922,4.3666668,1,False,39.95117899493708,-2.471841190015596,-0.012849753800016834,2.846051860109449,0.0002967490640817956,39.826510063067474,-0.004916214451519387,0.0002541349820045658,2.4204710818590667,2.4204710818590667,0.0010143625695232263,2.3531127160837695,2.3531127160837695,0.0009659186279151024,0.0009659186279151024,-0.011776510880111165,0.0013273779019102347,0.0010732429199056693,False,False,0.0005054079956607893,True
17.3,31.937,31.91,31.36666680000033,4.3666668,1,False,40.240472203699476,-2.4755532889980993,-0.012811131996716699,2.828112212842168,0.0004020067966477081,40.11582713913735,-0.004835396240365914,0.0003057754869036783,2.3531127160837695,2.3531127160837695,0.0009659186279151024,2.2861411706966877,2.2861411706966877,0.0008998033481956071,0.0008998033481956071,-0.01181135049872158,0.0013055569848987969,0.000999781497995119,False,False,0.0005339440031093545,True
17.4,32.037,32.012,29.36666680000144,4.3666668,1,False,40.52777402360154,-2.4792280139834664,-0.01276922186404135,2.807061051831276,0.0003986938590754774,40.40315251294651,-0.004739336252630628,0.000362351704673844,2.2861411706966877,2.2861411706966877,0.0008998033481956071,2.2196306674995907,2.2196306674995907,0.0008255421751827834,0.0008255421751827834,-0.011851952780504924,0.0012796207882102696,0.000917269083536426,False,False,0.0005529519985429943,True
17.5,32.137,32.114,27.3666668000061,4.3666668,1,False,40.81277455326036,-2.48286200589593,-0.012733536299430461,2.783054602686397,0.0003146023758432551,40.6881762643939,-0.0046283403924029945,0.0004142958610758394,2.2196306674995907,2.2196306674995907,0.0008255421751827834,2.153652947256611,2.153652947256611,0.000751820440385672,0.000751820440385672,-0.011898180254557493,0.0012496519059488087,0.0008353560448729688,False,False,0.0005279230026644655,True
17.6,32.237,32.216,25.366666800003657,4.3666668,1,False,41.095183492503956,-2.486454328195011,-0.012708019091059324,2.7563118824706367,0.0001895999046681051,40.97060810467425,-0.004504920904196296,0.0004576034774643918,2.153652947256611,2.153652947256611,0.000751820440385672,2.0882752064504526,2.0882752064504526,0.000682852650001747,0.000682852650001747,-0.011949293924390716,0.001216328644133,0.0007587251666686078,False,False,0.0005268299937597476,True
17.7,32.337,32.318,23.366666800008318,4.3666668,1,False,41.374731418838955,-2.490004391471756,-0.012691378681848614,2.7270137959298246,7.672327367862206e-05,41.25017862548694,-0.004371706724138015,0.0004935004355461296,2.0882752064504526,2.0882752064504526,0.000682852650001747,2.023559808113664,2.023559808113664,0.0006181743419740203,0.0006181743419740203,-0.01200451830187748,0.001180360815517264,0.0006868603799711336,False,False,0.0005462890039780177,True
17.8,32.437,32.42,21.366666799998768,4.3666668,1,False,41.65116296388862,-2.493511180662401,-0.012680664376379032,2.695266554109463,-2.5147473925790385e-05,41.52663246592572,-0.0042307623899457344,0.0005248670158468794,2.023559808113664,2.023559808113664,0.0006181743419740203,1.9595658635671376,1.9595658635671376,0.000555694946494622,0.000555694946494622,-0.012063225546940563,0.0011423058452853484,0.0006174388294384689,False,False,0.0005469199968501925,True
17.9,32.537,32.522,19.36666680000343,4.3666668,1,False,41.92423595701681,-2.4969725498812054,-0.01267006956477176,2.6612292374750632,-7.380882126162606e-05,41.799727446991376,-0.004082895778312785,0.0005574351769762932,1.9595658635671376,1.9595658635671376,0.000555694946494622,1.896349432764397,1.896349432764397,0.0004904520148513426,0.0004904520148513426,-0.012125122881603601,0.0011023818601444521,0.0005449466831681585,False,False,0.0005430420060292818,True
18.0,32.637,32.624,17.366666800000985,4.3666668,1,False,42.19372560638086,-2.5003851035966287,-0.012655180222972167,2.62507677274803,-0.00019202768586982293,42.069238750253916,-0.0039274849071000454,0.0005955409769553728,1.896349432764397,1.896349432764397,0.0004904520148513426,1.8339625570086804,1.8339625570086804,0.0004183919531654755,0.0004183919531654755,-0.012190300275010528,0.0010604209249170124,0.0004648799479616394,False,False,0.0006396329990820959,True
18.1,32.737,32.726,15.366666800005646,4.3666668,1,False,42.45942472292615,-2.5037451120913228,-0.012636131703483381,2.5869784931904922,-0.00022057919187358981,42.334959154237104,-0.0037633902813849042,0.0006389684683640283,1.8339625570086804,1.8339625570086804,0.0004183919531654755,1.772453204234302,1.772453204234302,0.0003394322168489058,0.0003394322168489058,-0.012258984795873486,0.0010161153759739242,0.0003771469076098953,False,False,0.0004976529962732457,True
